query_idx,best_train_idx,min_hamming_dist
0,168,85
1,98,95
2,119,85
3,200,65
4,4,85
5,38,85
6,145,68
7,105,69
8,102,63
9,131,75
10,35,77
11,232,79
12,206,85
13,32,80
14,57,81
15,250,74
16,234,77
17,46,71
18,215,80
19,144,70
20,93,82
21,134,88
22,59,89
23,124,91
24,95,83
25,47,71
26,241,76
27,228,78
28,228,86
29,11,86
30,199,78
31,87,76
32,243,83
33,14,85
34,69,82
35,206,79
36,211,79
37,13,92
38,12,92
39,131,78
40,128,86
41,205,82
42,97,80
43,168,77
44,35,86
45,48,81
46,211,73
47,62,72
48,59,75
49,163,86
50,168,85
51,217,81
52,66,86
53,152,80
54,13,82
55,235,73
56,230,94
57,57,81
58,104,89
59,70,83
60,129,84
61,146,101
62,45,81
63,69,79
64,146,84
65,94,84
66,102,49
67,38,91
68,186,77
69,4,76
70,57,86
71,93,83
72,7,86
73,38,78
74,44,80
75,144,75
76,119,78
77,60,80
78,140,78
79,131,81
80,239,88
81,166,73
82,144,76
83,39,70
84,179,72
85,35,80
86,32,89
87,199,79
88,204,73
89,14,89
90,244,92
91,176,88
92,51,85
93,100,87
94,196,67
95,20,84
96,69,72
97,20,77
98,44,79
99,87,84
100,191,73
101,115,85
102,48,85
103,254,89
104,26,49
105,83,87
106,13,89
107,57,86
108,136,87
109,254,70
110,196,71
111,227,69
112,199,88
113,83,84
114,89,70
115,186,91
116,69,75
117,4,70
118,92,86
119,38,62
120,26,84
121,12,88
122,93,79
123,94,93
124,26,65
125,38,68
126,23,61
127,174,82
128,67,89
129,208,86
130,164,77
131,171,86
132,12,72
133,100,67
134,83,84
135,235,74
136,5,83
137,22,92
138,36,84
139,196,77
140,38,62
141,8,47
142,12,53
143,89,79
144,12,77
145,6,86
146,6,57
147,89,82
148,4,38
149,12,63
150,254,63
151,8,67
152,34,82
153,140,81
154,52,83
155,23,44
156,208,88
157,89,77
158,117,87
159,242,75
160,5,81
161,230,69
162,38,31
163,22,91
164,93,84
165,52,75
166,5,65
167,36,76
168,161,80
169,50,42
170,208,68
171,38,66
172,5,79
173,85,76
174,6,52
175,66,24
176,70,64
177,8,70
178,30,70
179,63,65
180,203,59
181,89,47
182,140,64
183,8,84
184,5,73
185,108,64
186,161,65
187,8,49
188,199,81
189,74,74
190,199,76
191,4,52
192,83,77
193,6,71
194,110,70
195,93,50
196,11,61
197,232,60
198,93,78
199,153,63
200,238,86
201,204,81
202,244,60
203,104,66
204,244,92
205,147,71
206,47,74
207,28,65
208,199,64
209,100,79
210,19,73
211,8,78
212,205,75
213,177,76
214,144,62
215,239,88
216,176,73
217,199,61
218,100,70
219,148,83
220,173,77
221,6,69
222,252,75
223,134,86
224,17,88
225,57,54
226,222,85
227,93,81
228,118,75
229,110,83
230,118,90
231,185,61
232,41,69
233,1,90
234,87,79
235,234,75
236,238,85
237,171,87
238,36,71
239,156,92
240,59,81
241,8,97
242,8,97
243,8,97
244,8,97
245,8,97
246,8,97
247,8,97
248,8,97
249,8,97
250,8,97
251,8,97
252,8,97
253,8,97
254,8,97
255,8,97
